Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
new hospital programme,New Hospital Programme,DHSC,Official Category,2020,2021-01-01,2030-12-31,3651.0,Red,3690.0,870.0,2024,2046-04-05,Amber,4,5574.0,1.0,Schedule Slippage (>=2 valid annual observations)
new nuclear programme,New Nuclear Programme,DECC,"Keyword Match (pre-2018, no Category field)",2013,2008-01-31,2019-03-31,4077.0,Unknown,31.292,,2013,2019-03-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
new polar research vessel,New Polar Research Vessel,BEIS,Official Category,2018,2014-05-01,2022-12-31,3166.0,Amber,1403.0,113.0,2023,2022-12-31,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
new prison -wales,New Prison -Wales,MOJ,"Keyword Match (pre-2018, no Category field)",2013,2013-01-10,2018-05-31,1967.0,Unknown,252.3,,2013,2018-05-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
new wales prison,New Wales Prison,MOJ,"Keyword Match (pre-2018, no Category field)",2014,2013-01-10,2018-03-31,1906.0,Unknown,208.04,,2014,2018-03-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
north tees & hartlepool foundation trust - new hospital development,North Tees & Hartlepool Foundation Trust - New Hospital Development,DoH,"Keyword Match (pre-2018, no Category field)",2014,2013-04-01,2017-06-30,1551.0,Unknown,975.83,,2014,2017-06-30,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
north wales prison (nwp ) programme,North Wales Prison (NWP ) Programme,MOJ,"Keyword Match (pre-2018, no Category field)",2015,2013-01-10,2018-03-31,1906.0,Unknown,2541.0,,2016,2018-05-31,Amber,2,61.0,1.0,Schedule Slippage (>=2 valid annual observations)
north of england programme,North of England Programme,DFT,Official Category,2018,2009-07-23,2022-12-31,4909.0,Amber,6052.0,285.0,2018,2022-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
northern powerhouse rail (npr),Northern Powerhouse Rail (NPR),DFT,Official Category,2020,2016-06-01,2045-12-29,10803.0,Amber,30600.0,35.89,2023,2045-01-01,Amber,2,-362.0,0.0,Schedule Slippage (>=2 valid annual observations)
nuclear warhead capability sustainment programme,Nuclear Warhead Capability Sustainment Programme,MOD,"Keyword Match (pre-2018, no Category field)",2013,2008-04-01,2025-04-30,6238.0,Unknown,21883.89,,2017,2025-04-30,Unknown,5,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
open networks programme,Open Networks Programme,DSIT,Official Category,2020,2021-09-01,2025-03-31,1307.0,Unknown,325.0,96.1,2024,2025-03-31,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
oxford flood alleviation scheme,Oxford Flood Alleviation Scheme,DEFRA,Official Category,2021,2014-04-02,2030-01-09,5761.0,Amber,204.83,2.94,2023,2030-01-09,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
phe science hub,PHE Science Hub,DHSC,Official Category,2018,2013-06-28,2024-12-31,4204.0,Amber,2656.32,204.79,2023,2034-10-20,Red,4,3580.0,1.0,Schedule Slippage (>=2 valid annual observations)
public sector decarbonisation scheme,PUBLIC SECTOR DECARBONISATION SCHEME,DESNZ,Official Category,2024,2020-07-08,2028-03-31,2823.0,Unknown,3836.29,433.8,2024,2028-03-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
papworth foundation trust - new papworth hospital,Papworth Foundation Trust - New Papworth Hospital,DoH,"Keyword Match (pre-2018, no Category field)",2014,2003-12-01,2017-11-01,5084.0,Unknown,697.5,,2014,2017-11-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
periodic review 2013 (rail investment strategy - hlos & sofa),Periodic Review 2013 (Rail Investment Strategy - HLOS & SOFA),DFT,"Keyword Match (pre-2018, no Category field)",2013,2011-08-31,2012-07-31,335.0,Unknown,16840.61,,2015,2012-07-31,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
pevensey and eastbourne coastal management scheme,Pevensey and Eastbourne Coastal Management Scheme,DEFRA,Official Category,2023,2020-06-29,2030-03-29,3560.0,Unknown,142.0,1.13,2023,2030-03-29,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
priority school building programme,Priority School Building Programme,DFE,"Keyword Match (pre-2018, no Category field)",2013,2011-07-19,2017-12-31,2357.0,Unknown,3889.76,,2013,2017-12-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
priority school building programme (psbp),Priority School Building Programme (PSBP),DFE,"Keyword Match (pre-2018, no Category field)",2016,2011-07-19,2075-12-31,23541.0,Amber,4403.01,745.07,2016,2075-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
priority school building programme - capital,Priority School Building Programme - Capital,DFE,"Keyword Match (pre-2018, no Category field)",2014,2011-07-19,2019-01-01,2723.0,Unknown,2023.34,,2014,2019-01-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
priority school building programme - private finance,Priority School Building Programme - Private Finance,DFE,"Keyword Match (pre-2018, no Category field)",2014,2011-07-19,2017-07-31,2204.0,Unknown,,,2016,2043-07-01,Amber/Green,3,9466.0,1.0,Schedule Slippage (>=2 valid annual observations)
priority school building programme 1,Priority School Building Programme 1,DFE,"Keyword Match (pre-2018, no Category field)",2017,2011-07-19,2021-09-19,3715.0,Amber/Green,2313.79,381.85,2017,2021-09-19,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
priority school building programme 1 (psbp1) - capital,Priority School Building Programme 1 (PSBP1) - Capital,DFE,"Keyword Match (pre-2018, no Category field)",2015,2011-07-19,2019-01-01,2723.0,Unknown,2023.3,,2015,2019-01-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
priority school building programme 2,Priority School Building Programme 2,DFE,"Keyword Match (pre-2018, no Category field)",2015,2014-05-01,2021-03-31,2526.0,Unknown,1580.79,,2022,2025-02-25,Unknown,5,1427.0,1.0,Schedule Slippage (>=2 valid annual observations)
prison competitions phase 2,Prison Competitions Phase 2,MOJ,"Keyword Match (pre-2018, no Category field)",2013,2011-07-13,2014-01-31,933.0,Unknown,786.6930689,,2014,2014-01-31,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
prison estate transformation programme (petp),Prison Estate Transformation Programme (PETP),MOJ,"Keyword Match (pre-2018, no Category field)",2016,2016-04-01,2021-12-31,2100.0,Amber,0.0,0.0,2018,2026-05-07,Amber/Red,3,1588.0,1.0,Schedule Slippage (>=2 valid annual observations)
prison unit cost programme,Prison Unit Cost Programme,MOJ,"Keyword Match (pre-2018, no Category field)",2013,2012-11-20,2016-12-01,1472.0,Unknown,212.0,,2014,2016-12-01,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
prison unit cost programme (pucp),Prison Unit Cost Programme (PUCP),MOJ,"Keyword Match (pre-2018, no Category field)",2015,2012-11-20,2016-12-01,1472.0,Unknown,119.5,,2015,2016-12-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
project gigabit,Project Gigabit,DSIT,Official Category,2020,2021-04-01,2030-12-31,3561.0,Amber,5404.0,423.3,2024,2030-12-31,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
public sector decarbonisation scheme (psds),Public Sector Decarbonisation Scheme (PSDS),DESNZ,Official Category,2020,2020-07-08,2025-03-31,1727.0,Amber,2565.0,461.04,2023,2025-03-31,Amber,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
redevelopment euston conventional station (recs),REDEVELOPMENT EUSTON CONVENTIONAL STATION (RECS),DFT,Official Category,2024,,,,Unknown,35.0,12.89,2024,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
rail franchising programme,Rail Franchising Programme,DFT,"Keyword Match (pre-2018, no Category field)",2014,2013-03-26,2022-12-31,3567.0,Unknown,134.2,,2017,2019-12-01,Amber/Red,4,-1126.0,0.0,Schedule Slippage (>=2 valid annual observations)
rapid charging fund,Rapid Charging Fund,DFT,Official Category,2020,2020-11-25,2028-04-30,2713.0,Amber,35.0,223.9,2024,2028-04-30,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
rapid deployment cells project,Rapid Deployment Cells Project,MOJ,Official Category,2022,2020-08-17,2024-03-01,1292.0,Unknown,244.0,5.0,2024,2028-02-28,Amber,2,1459.0,1.0,Schedule Slippage (>=2 valid annual observations)
remediation portfolio,Remediation Portfolio,DLUHC,Official Category,2020,2023-06-26,2036-03-31,4662.0,Amber,9915.0,732.0,2024,2036-03-31,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
replacement analytical project,Replacement Analytical Project,DESNZ,Official Category,2020,2016-09-26,2028-07-10,4305.0,Red,735.0,127.57,2024,2032-10-30,Red,5,1573.0,1.0,Schedule Slippage (>=2 valid annual observations)
river thames scheme,River Thames Scheme,DEFRA,Official Category,2021,2017-04-12,2029-04-12,4383.0,Amber/Green,308.48,4.51,2023,2030-04-01,Unknown,3,354.0,1.0,Schedule Slippage (>=2 valid annual observations)
royal liverpool & broadgreen ('world class hospitals; world class services - renewing the royal liverpool university hospital'),Royal Liverpool & Broadgreen ('World Class Hospitals; World Class Services - Renewing the Royal Liverpool University Hospital'),DoH,"Keyword Match (pre-2018, no Category field)",2013,2010-06-01,2016-11-01,2345.0,Unknown,837.0,,2014,2016-11-01,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
royal national orthopaedic hospital (rnoh) nhs trust pfi project,Royal National Orthopaedic Hospital (RNOH) NHS Trust PFI Project,DoH,"Keyword Match (pre-2018, no Category field)",2013,2011-01-15,2016-11-28,2144.0,Unknown,208.79,,2014,2016-11-28,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
rural gigabit connectivity programme,Rural Gigabit Connectivity Programme,DCMS,Official Category,2021,2019-05-01,2021-05-01,731.0,Amber/Green,75.9,38.5,2021,2021-05-01,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
sellafield product and residue store retreatment plant project,SELLAFIELD PRODUCT AND RESIDUE STORE RETREATMENT PLANT PROJECT,DESNZ,Official Category,2024,2012-03-01,2030-04-01,6605.0,Unknown,1471.12,256.87,2024,2030-04-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
sixep continuity plant,SIXEP Continuity Plant,DESNZ,Official Category,2020,2013-05-25,2031-01-23,6452.0,Unknown,1076.0,142.16,2024,2031-01-23,Unknown,5,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
sandwell and west birmingham hospitals nhs trust - the midland metropolitan hospital project,Sandwell and West Birmingham Hospitals NHS Trust - The Midland Metropolitan Hospital Project,DoH,"Keyword Match (pre-2018, no Category field)",2013,2008-10-01,2019-04-01,3834.0,Unknown,1116.0,,2014,2018-10-15,Unknown,2,-168.0,0.0,Schedule Slippage (>=2 valid annual observations)
school rebuilding programme,School Rebuilding Programme,DFE,Official Category,2020,2020-11-01,2036-03-31,5629.0,Amber,,0.0,2021,2033-03-31,Amber,2,-1096.0,0.0,Schedule Slippage (>=2 valid annual observations)
science capability in animal health programme,Science Capability in Animal Health Programme,DEFRA,Official Category,2020,2021-04-01,2036-09-30,5661.0,Amber,2820.0,79.62,2023,2036-09-30,Amber,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
sellafield product and residue store retreatment plant,Sellafield Product and Residue Store Retreatment Plant,DESNZ,Official Category,2020,2012-03-01,2029-10-09,6431.0,Green,1433.0,239.15,2023,2029-10-09,Unknown,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
shared rural network,Shared Rural Network,DSIT,Official Category,2020,2020-03-11,2040-03-11,7305.0,Unknown,512.0,62.4,2024,2040-03-11,Amber,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
sizewell c,Sizewell C,BEIS,Official Category,2022,2021-01-01,2023-04-21,840.0,Unknown,43.0,43.0,2022,2023-04-21,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
small secure houseblocks,Small Secure Houseblocks,MOJ,Official Category,2024,2021-11-15,2027-12-16,2222.0,Red,43.0,146.86,2024,2027-12-16,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
smart metering implementation programme,Smart Metering Implementation Programme,BEIS,Official Category,2018,2009-12-02,2020-12-31,4047.0,Amber/Red,17215.78,1060.97,2024,2030-12-31,Amber,6,3652.0,1.0,Schedule Slippage (>=2 valid annual observations)
social housing decarbonisation fund,Social Housing Decarbonisation Fund,DESNZ,Official Category,2020,2020-09-09,2030-03-31,3490.0,Amber,4558.0,320.04,2024,2028-10-01,Amber,5,-546.0,0.0,Schedule Slippage (>=2 valid annual observations)
south west route capacity,South West Route Capacity,DFT,Official Category,2018,2012-07-16,2019-12-31,2724.0,Amber/Green,820.2,178.22,2021,2021-08-31,Green,2,609.0,1.0,Schedule Slippage (>=2 valid annual observations)
space based pnt programme,Space Based PNT Programme,BEIS,Official Category,2021,2020-10-01,2030-06-30,3559.0,Amber,26.8,11.4,2021,2030-06-30,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
spherical tokamak for energy production,Spherical Tokamak for Energy Production,DESNZ,Official Category,2020,2018-07-16,2045-04-01,9756.0,Amber,238.0,51.84,2023,2024-03-31,Amber,2,-7671.0,0.0,Schedule Slippage (>=2 valid annual observations)
st helena airport,St Helena Airport,DFID,"Keyword Match (pre-2018, no Category field)",2013,2005-03-15,2026-08-31,7839.0,Unknown,445.11,,2021,2026-08-31,Amber/Green,7,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
submarine waterfront infrastructure future,Submarine Waterfront Infrastructure Future,MOD,Official Category,2020,2016-12-31,2027-10-31,3956.0,Unknown,1428.0,330.0,2023,2027-10-31,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
"tokyo new build, remodelling and refurbishment","TOKYO NEW BUILD, REMODELLING AND REFURBISHMENT",FCDO,Official Category,2024,2022-06-01,2031-12-01,3470.0,Unknown,101.0,4.0,2024,2031-12-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
thames estuary asset management programme (team2100),Thames Estuary Asset Management Programme (TEAM2100),DEFRA,"Keyword Match (pre-2018, no Category field)",2015,2010-04-01,2025-12-31,5753.0,Unknown,318.42,,2016,2025-12-31,Green,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
thames estuary programme phase 1 (tep1),Thames Estuary Programme Phase 1 (TEP1),DEFRA,"Keyword Match (pre-2018, no Category field)",2013,2010-04-01,2025-12-31,5753.0,Unknown,318.74,,2014,2025-12-31,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
thames tideway tunnel,Thames Tideway Tunnel,DEFRA,"Keyword Match (pre-2018, no Category field)",2013,2010-09-07,2023-03-31,4588.0,Unknown,4217.88,,2016,2023-12-31,Amber/Green,4,275.0,1.0,Schedule Slippage (>=2 valid annual observations)
thameslink programme,Thameslink Programme,DFT,Official Category,2018,2005-07-01,2026-12-31,7853.0,Amber,7269.4,2178.7,2021,2026-12-31,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
tokyo compound,Tokyo Compound,FCDO,Official Category,2020,2022-06-01,2031-12-01,3470.0,Unknown,100.0,,2020,2031-12-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
towns fund,Towns Fund,DLUHC,Official Category,2020,2018-12-01,2026-03-30,2676.0,Unknown,3106.0,761.76,2023,2026-03-30,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
transpennine route upgrade,Transpennine Route Upgrade,DFT,Official Category,2020,2017-07-01,2041-10-17,8874.0,Amber,11104.0,647.56,2024,2041-10-17,Amber,5,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
uk gigabit programme,UK Gigabit Programme,DCMS,Official Category,2021,2021-04-01,2030-12-31,3561.0,Amber/Red,5035.24,15.24,2021,2030-12-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
uk holocaust memorial & learning centre programme,UK Holocaust Memorial & Learning Centre Programme,MHCLG,Official Category,2021,2015-01-27,,,Unknown,43.0,9.46,2021,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
uk holocaust memorial and learning centre,UK Holocaust Memorial and Learning Centre,DLUHC,Official Category,2020,2015-01-27,2029-01-31,5118.0,Unknown,138.0,8.0,2020,2029-01-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
urban broadband fund - super-connected city initiative,Urban Broadband Fund - Super-Connected City Initiative,DCMS,"Keyword Match (pre-2018, no Category field)",2013,2012-12-05,2015-03-31,846.0,Unknown,150.0,,2014,2016-03-31,Unknown,2,366.0,1.0,Schedule Slippage (>=2 valid annual observations)
washington embassy refurbishment,Washington Embassy Refurbishment,FCO,Official Category,2018,2017-01-01,2022-12-12,2171.0,Amber,63.7,8.7,2023,2023-08-01,Unknown,5,232.0,1.0,Schedule Slippage (>=2 valid annual observations)
wellingborough new build prison,Wellingborough New Build Prison,MOJ,Official Category,2021,2018-08-17,2022-06-14,1397.0,Amber,5536.36,134.38,2021,2022-06-14,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
western rail link to heathrow,Western Rail Link to Heathrow,DFT,Official Category,2021,,,,Unknown,,,2021,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
youth investment fund,Youth Investment Fund,DCMS,Official Category,2020,2022-04-01,2025-03-31,1095.0,Amber,310.0,,2024,2026-03-31,Amber,3,365.0,1.0,Schedule Slippage (>=2 valid annual observations)
